City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hasaki,JP,35.7333,140.8333,63.0,84,100,19.89,light rain
Ishigaki,JP,24.3448,124.1572,73.53,83,100,23.02,overcast clouds
Aksaray,TR,38.3726,34.0254,58.75,75,99,13.18,overcast clouds
New Norfolk,AU,-42.7826,147.0587,42.3,84,96,2.62,overcast clouds
Mandurah,AU,-32.55,115.7,51.24,82,0,7.45,clear sky
Tiksi,RU,71.6872,128.8694,12.43,87,100,15.23,overcast clouds
Atherton,GB,53.5237,-2.4935,54.79,76,0,8.88,clear sky
Fortuna,US,40.5982,-124.1573,70.93,66,0,3.44,clear sky
Antalaha,MG,-14.9003,50.2788,66.56,82,1,6.78,clear sky
Shebunino,RU,46.4339,141.8603,40.33,72,89,9.91,overcast clouds
Kantunilkin,MX,21.0917,-87.45,88.52,57,73,1.54,broken clouds
Marystown,CA,47.1666,-55.1483,56.66,93,98,13.51,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,74.03,81,51,10.47,light rain
Tasiilaq,GL,65.6145,-37.6368,33.96,63,99,3.49,overcast clouds
Egvekinot,RU,66.3167,-179.1667,13.35,79,100,8.3,overcast clouds
Lompoc,US,34.6391,-120.4579,80.02,70,0,5.75,clear sky
Saldanha,ZA,-33.0117,17.9442,62.65,92,89,9.62,overcast clouds
Basco,PH,20.4487,121.9702,80.35,81,98,25.5,overcast clouds
Hilo,US,19.7297,-155.09,85.24,66,20,5.01,few clouds
Geraldton,AU,-28.7667,114.6,50.41,87,0,6.91,clear sky
Santarem,BR,-2.4431,-54.7083,81.5,71,67,10.36,broken clouds
Mumford,GH,5.2618,-0.759,78.3,84,89,5.03,overcast clouds
Bida,NG,9.0833,6.0167,79.27,59,96,3.27,overcast clouds
Bathsheba,BB,13.2167,-59.5167,88.41,70,20,12.66,few clouds
Kiruna,SE,67.8557,20.2251,32.92,80,40,3.44,scattered clouds
Xining,CN,36.6167,101.7667,40.01,47,51,1.41,broken clouds
Yerkoy,TR,39.6381,34.4672,56.19,82,69,7.31,broken clouds
Soritor,PE,-6.1392,-77.1039,79.34,72,73,1.68,broken clouds
Itoman,JP,26.1247,127.6694,73.42,85,75,32.21,broken clouds
Rio Gallegos,AR,-51.6226,-69.2181,73.45,13,0,21.85,clear sky
Ust-Kut,RU,56.7938,105.7672,30.58,73,100,3.96,overcast clouds
Bethel,US,41.3712,-73.414,65.48,76,75,6.91,broken clouds
Pueblo Nuevo,MX,23.3833,-105.3833,73.15,49,2,6.76,clear sky
Kemijarvi,FI,66.7131,27.4306,38.79,92,84,6.4,broken clouds
Georgetown,MY,5.4112,100.3354,80.24,87,20,2.3,few clouds
Ryotsu,JP,38.0833,138.4333,55.63,71,100,9.55,overcast clouds
Souillac,MU,-20.5167,57.5167,71.98,73,40,8.05,scattered clouds
San Quintin,MX,30.4833,-115.95,72.77,68,0,12.24,clear sky
Port Lincoln,AU,-34.7333,135.8667,59.92,82,100,14.16,overcast clouds
Coahuayana,MX,18.7333,-103.6833,86.88,67,100,5.5,light rain
Sao Filipe,CV,14.8961,-24.4956,78.13,77,100,2.15,overcast clouds
Teya,RU,60.3778,92.6267,32.47,99,100,1.7,overcast clouds
Cururupu,BR,-1.8283,-44.8683,83.05,67,35,6.67,scattered clouds
Sesimbra,PT,38.4445,-9.1015,69.31,94,8,5.68,clear sky
Makinsk,KZ,52.6292,70.4169,36.99,92,98,9.28,overcast clouds
Tomatlan,MX,19.9333,-105.25,87.51,69,95,7.72,light rain
Japura,ID,-0.3167,102.35,72.97,98,100,1.61,overcast clouds
Klaksvik,FO,62.2266,-6.589,45.52,85,100,28.01,light rain
Faanui,PF,-16.4833,-151.75,78.49,77,16,18.59,few clouds
West Richland,US,46.3043,-119.3614,72.88,43,40,0.0,scattered clouds
Tongzi,CN,28.7829,105.0877,62.92,72,36,2.42,scattered clouds
Ilhabela,BR,-23.7781,-45.3581,72.97,80,100,4.83,overcast clouds
Polunochnoye,RU,60.8697,60.4153,41.32,86,95,5.7,overcast clouds
Chuy,UY,-33.6971,-53.4616,61.39,76,17,14.63,few clouds
Nchelenge,ZM,-9.3451,28.734,76.93,65,93,9.48,overcast clouds
Shumskiy,RU,54.8318,99.1328,38.98,62,100,3.44,overcast clouds
Tilichiki,RU,60.4667,166.1,24.01,91,100,11.48,light snow
Juneau,US,58.3019,-134.4197,51.8,100,100,5.75,light rain
Port Elizabeth,ZA,-33.918,25.5701,65.1,91,75,9.22,broken clouds
Barrow,US,71.2906,-156.7887,28.42,86,100,13.8,mist
San Patricio,US,28.017,-97.5169,73.29,61,100,15.9,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,61.2,63,40,20.71,scattered clouds
Nouadhibou,MR,20.931,-17.0347,76.98,61,95,13.8,overcast clouds
Karratha,AU,-20.7377,116.8463,73.71,26,5,12.8,clear sky
Iqaluit,CA,63.7506,-68.5145,31.73,74,100,13.8,overcast clouds
Kaabong,UG,3.4836,34.1492,69.8,61,99,1.99,overcast clouds
Baryshivka,UA,50.361,31.3217,48.79,46,76,6.51,broken clouds
Manta,EC,-0.95,-80.7333,74.98,78,75,10.36,broken clouds
Hay River,CA,60.8156,-115.7999,58.98,41,40,14.97,scattered clouds
Darhan,MN,49.4867,105.9228,30.51,36,51,6.67,broken clouds
Sinnamary,GF,5.3833,-52.95,83.12,72,8,10.96,clear sky
Ilulissat,GL,69.2167,-51.1,36.57,94,100,6.06,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,71.19,81,37,8.52,scattered clouds
Roald,NO,62.5833,6.1333,51.75,81,40,11.5,scattered clouds
Hithadhoo,MV,-0.6,73.0833,81.12,71,100,7.09,overcast clouds
East London,ZA,-33.0153,27.9116,67.82,87,6,8.7,clear sky
Kimbe,PG,-5.5502,150.1429,75.02,93,100,2.64,light rain
Oussouye,SN,12.485,-16.5469,79.66,81,93,6.73,overcast clouds
Hobart,AU,-42.8794,147.3294,42.66,93,75,9.22,broken clouds
Port Blair,IN,11.6667,92.75,77.04,94,75,2.3,mist
Kaitangata,NZ,-46.2817,169.8464,43.03,94,100,8.25,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,33.48,71,100,5.7,overcast clouds
Yellowknife,CA,62.456,-114.3525,43.32,75,20,12.66,few clouds
Alice Springs,AU,-23.7,133.8833,65.75,88,75,11.5,broken clouds
Fort Nelson,CA,58.8053,-122.7002,44.19,57,20,2.3,few clouds
Olga,RU,43.7444,135.2892,37.9,67,6,9.78,clear sky
Balkhash,KZ,46.844,74.9804,48.74,45,100,10.8,overcast clouds
Willowmore,ZA,-33.2926,23.4895,64.11,63,100,5.12,overcast clouds
Altamira,BR,-3.2033,-52.2064,91.49,55,75,4.61,broken clouds
Mamontovo,RU,52.7055,81.6244,41.86,74,86,8.61,overcast clouds
Talnakh,RU,69.4865,88.3972,29.21,97,99,4.65,light snow
Aykhal,RU,66.0,111.5,14.14,100,100,5.82,overcast clouds
Gumdag,TM,39.2061,54.5906,66.72,41,7,12.59,clear sky
Ahuimanu,US,21.4447,-157.8378,83.61,65,20,9.22,few clouds
Dikson,RU,73.5069,80.5464,31.44,97,100,24.76,light snow
Storforshei,NO,66.4043,14.5233,38.98,86,40,1.14,scattered clouds
Kaeo,NZ,-35.1,173.7833,60.33,96,36,6.98,scattered clouds
Sabha,LY,27.0377,14.4283,71.37,38,0,9.8,clear sky
Heihe,CN,50.2441,127.4902,30.78,57,0,10.56,clear sky
Amapa,BR,1.0,-52.0,86.05,54,98,4.7,overcast clouds
Isangel,VU,-19.55,169.2667,73.51,88,78,1.14,broken clouds
Chokurdakh,RU,70.6333,147.9167,14.65,96,99,8.55,overcast clouds
Pisco,PE,-13.7,-76.2167,64.45,77,20,12.66,few clouds
Saint-Francois,FR,46.4154,3.9054,62.04,77,0,4.61,clear sky
Khuzhir,RU,53.1939,107.3397,36.34,70,74,11.3,broken clouds
Villanueva,HN,15.3167,-88.0,90.59,58,20,3.44,few clouds
Lavrentiya,RU,65.5833,-171.0,30.56,82,100,7.14,overcast clouds
Kamaishi,JP,39.2667,141.8833,54.41,83,90,8.59,overcast clouds
Lima,PE,-12.0432,-77.0282,69.91,65,100,11.5,overcast clouds
Angoche,MZ,-16.2325,39.9086,75.76,86,0,5.88,clear sky
Morondava,MG,-20.2833,44.2833,76.51,77,6,11.16,clear sky
Aranos,NA,-24.1333,19.1167,63.52,54,80,4.81,broken clouds
Manzanillo,CU,20.3433,-77.1167,87.01,60,43,4.0,scattered clouds
Yulara,AU,-25.2406,130.9889,60.08,52,0,6.76,clear sky
Bambous Virieux,MU,-20.3428,57.7575,71.85,73,40,8.05,scattered clouds
Constantine,DZ,36.365,6.6147,72.81,53,0,4.61,clear sky
Vao,NC,-22.6667,167.4833,72.97,72,100,2.91,overcast clouds
Vostok,RU,46.4856,135.8833,29.52,87,100,6.31,overcast clouds
Roma,US,43.2128,-75.4557,59.68,79,100,5.75,overcast clouds
Seymchan,RU,62.8833,152.4333,-5.26,98,94,2.66,overcast clouds
Chapais,CA,49.7834,-74.8492,47.98,58,100,10.18,overcast clouds
Mountain Home,US,43.133,-115.6912,62.08,25,0,5.75,clear sky
Anyksciai,LT,55.5256,25.1026,53.22,80,99,8.75,light rain
Sakaiminato,JP,35.55,133.2333,62.58,82,75,14.97,light intensity shower rain
Gizo,SB,-8.103,156.8419,82.45,71,21,7.45,few clouds
Ryomgard,DK,56.3843,10.503,57.2,93,20,10.0,few clouds
Sumter,US,28.7086,-82.0831,85.01,84,72,7.72,broken clouds
Narsaq,GL,60.9167,-46.05,29.95,73,100,5.97,overcast clouds
Waslala,NI,13.2333,-85.3833,84.96,61,52,3.29,broken clouds
Rokytne,UA,51.2796,27.214,53.78,87,100,6.11,overcast clouds
Paragominas,BR,-2.9667,-47.4833,87.71,50,83,6.2,broken clouds
Bengkulu,ID,-3.8004,102.2655,75.27,90,100,3.76,moderate rain
Topolobampo,MX,25.6,-109.05,85.89,44,0,10.33,clear sky
Verkhniye Sergi,RU,56.6469,59.5556,38.32,91,80,10.51,broken clouds
Tuxpan,MX,19.55,-103.4,74.98,84,100,4.45,moderate rain
Lucapa,AO,-8.4192,20.7447,65.52,96,99,0.92,light rain
Vrangel,RU,42.7297,133.0839,39.85,72,1,8.79,clear sky
Airai,TL,-8.9266,125.4092,61.99,92,100,0.72,overcast clouds
Upernavik,GL,72.7868,-56.1549,38.37,94,100,30.06,light rain
Quesnel,CA,52.9999,-122.5029,59.5,51,0,5.75,clear sky
Guerrero Negro,MX,27.9769,-114.0611,78.58,50,0,7.14,clear sky
Masvingo,ZW,-20.0637,30.8277,69.87,52,23,10.07,few clouds
Mandiana,GN,10.6333,-8.6833,77.14,74,78,3.13,broken clouds
Erzin,TR,36.9559,36.2,74.1,56,90,1.07,overcast clouds
Sitka,US,57.0531,-135.33,55.17,80,100,3.94,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,87.19,64,43,4.76,scattered clouds
Rehoboth,NA,-23.3167,17.0833,62.82,64,69,5.37,broken clouds
Canavieiras,BR,-15.675,-38.9472,77.63,71,0,6.98,clear sky
Sistranda,NO,63.7256,8.834,44.56,76,100,9.46,overcast clouds
Pasighat,IN,28.0667,95.3333,68.83,70,12,3.02,few clouds
Phaltan,IN,17.9833,74.4333,74.61,85,100,5.01,moderate rain
Sayat,TM,38.7839,63.8803,62.47,43,90,6.33,overcast clouds
Mudigere,IN,13.1333,75.6333,66.27,98,99,1.19,overcast clouds
Sande,DE,53.5049,8.0142,58.01,94,100,9.42,overcast clouds
Huancabamba,PE,-5.2386,-79.4506,68.38,69,89,2.98,light rain
Steinbach,DE,50.1667,8.5667,65.39,94,20,2.3,few clouds
Krasnoselkup,RU,65.7,82.4667,33.78,99,100,5.17,overcast clouds
Tatarsk,RU,55.219,75.9828,38.32,94,100,11.7,light rain
Castro,BR,-24.7911,-50.0119,69.58,79,100,3.47,overcast clouds
Tsaratanana,MG,-16.7833,47.65,69.55,56,0,2.93,clear sky
Vila Velha,BR,-20.3297,-40.2925,80.55,77,20,16.11,few clouds
Bairiki,KI,1.3292,172.9752,80.6,78,20,13.8,few clouds
Te Anau,NZ,-45.4167,167.7167,42.26,92,97,4.61,overcast clouds
Dingle,PH,10.9995,122.6711,75.36,92,100,7.02,overcast clouds
Berwick,US,41.0545,-76.2333,63.12,82,100,11.39,overcast clouds
Ratnagiri,IN,16.9833,73.3,77.77,89,100,4.59,overcast clouds
Teguise,ES,29.0605,-13.564,71.82,73,20,10.36,few clouds
Udachnyy,RU,66.4167,112.4,13.8,98,100,3.2,overcast clouds
Plettenberg Bay,ZA,-34.0527,23.3716,62.22,87,100,6.38,overcast clouds
Portland,US,45.5234,-122.6762,71.28,69,52,5.99,broken clouds
Nemuro,JP,43.3236,145.575,47.95,66,5,17.13,clear sky
Namibe,AO,-15.1961,12.1522,67.87,86,55,8.19,broken clouds
Northam,GB,51.0333,-4.2167,51.39,86,0,4.79,clear sky
Aleppo,SY,36.25,37.5,73.69,40,42,20.2,scattered clouds
Kindersley,CA,51.4668,-109.1682,66.22,30,0,10.36,clear sky
Sao Paulo De Olivenca,BR,-3.3783,-68.8725,82.36,80,100,2.17,light rain
Ketchikan,US,55.3422,-131.6461,57.67,88,75,16.11,moderate rain
Kirakira,SB,-10.4544,161.9205,81.0,80,36,5.59,scattered clouds
Hun,LY,29.1268,15.9477,70.92,52,0,12.37,clear sky
Harper,LR,4.375,-7.7169,77.16,86,82,5.75,broken clouds
Llanes,ES,43.4198,-4.7549,66.88,75,99,7.18,overcast clouds
Mahebourg,MU,-20.4081,57.7,71.89,73,40,8.05,scattered clouds
Nogliki,RU,51.8333,143.1667,30.94,78,78,18.61,broken clouds
Lata,PT,40.1629,-8.3327,65.91,84,3,1.43,clear sky
Bandarbeyla,SO,9.4942,50.8122,77.52,81,11,4.92,light rain
Waterloo,CA,43.4668,-80.5164,45.64,80,75,8.05,light rain
Troitskoye,RU,52.9821,84.6757,43.2,77,98,9.46,overcast clouds
Burns Lake,CA,54.2331,-125.7533,45.82,44,91,3.94,overcast clouds
Pevek,RU,69.7008,170.3133,3.33,97,97,4.61,overcast clouds
Beisfjord,NO,68.3751,17.5988,41.05,99,100,6.89,light rain
Znamenskoye,RU,57.1281,73.8282,39.99,84,100,8.3,overcast clouds
Wagar,SD,16.1525,36.2032,86.74,49,1,14.16,clear sky
Saint-Pierre,RE,-21.3393,55.4781,71.28,60,0,11.5,clear sky
Henties Bay,NA,-22.116,14.2845,57.94,91,19,1.68,few clouds
Shaunavon,CA,49.6501,-108.4181,65.98,26,1,11.21,clear sky
Kaura Namoda,NG,12.5898,6.5779,82.18,25,6,5.82,clear sky
Kahului,US,20.8947,-156.47,81.84,76,5,14.0,clear sky
Kokoda,PG,-8.8785,147.7407,73.67,95,100,0.63,overcast clouds
Ayan,RU,56.45,138.1667,35.1,54,100,12.59,overcast clouds
Lugde,DE,51.9583,9.2471,65.68,94,100,6.08,moderate rain
Lazurne,UA,46.084,32.5295,55.98,65,0,10.02,clear sky
Huambo,AO,-12.7761,15.7392,62.19,84,100,1.07,light rain
Manzhouli,CN,49.6,117.4333,26.19,50,28,4.72,scattered clouds
Margate,GB,51.3813,1.3862,58.3,82,100,1.01,overcast clouds
Touros,BR,-5.1989,-35.4608,78.73,74,93,17.49,overcast clouds
Sangre Grande,TT,10.5835,-61.1177,87.76,74,46,5.77,light rain
Tosagua,EC,-0.7833,-80.25,82.81,56,33,15.64,scattered clouds
La Paz,BO,-16.5,-68.15,58.98,47,75,12.66,broken clouds
Necochea,AR,-38.5473,-58.7368,63.66,50,10,19.17,clear sky
Port Hedland,AU,-20.3167,118.5667,69.85,43,22,9.22,few clouds
Virginia Beach,US,36.8529,-75.978,78.06,58,75,11.5,broken clouds
Port Augusta,AU,-32.5,137.7667,64.44,53,100,15.14,overcast clouds
Lethem,GY,3.3803,-59.7968,90.16,50,73,2.48,moderate rain
Hanmer Springs,NZ,-42.5167,172.8167,49.75,63,100,6.73,overcast clouds
Sao Caetano De Odivelas,BR,-0.75,-48.02,79.52,85,71,7.61,moderate rain
Vanimo,PG,-2.6741,141.3028,76.6,91,96,4.65,overcast clouds
Dingli,MT,35.8614,14.3822,68.81,77,20,3.44,few clouds
Cricau,RO,46.1833,23.5667,47.39,62,0,1.79,clear sky
Takab,IR,36.4009,47.1133,56.55,27,3,3.6,clear sky
Chakrata,IN,30.7,77.85,46.76,84,0,6.04,clear sky
Puerto Quijarro,BO,-17.7833,-57.7667,99.95,24,83,2.04,broken clouds
Jutai,BR,-5.1833,-68.9,85.3,61,100,1.41,overcast clouds
Bodden Town,KY,19.2833,-81.25,89.6,82,40,6.91,scattered clouds
Paraiso,CR,9.8383,-83.8656,74.26,94,100,2.62,overcast clouds
Campo Verde,BR,-20.4167,-54.0667,90.14,32,92,7.49,overcast clouds
North Bend,US,43.4065,-124.2243,71.24,90,80,4.43,broken clouds
Grindavik,IS,63.8424,-22.4338,37.87,81,20,3.44,few clouds
Wanaka,NZ,-44.7,169.15,45.63,78,83,5.03,broken clouds
Muros,ES,42.7762,-9.0603,64.83,91,1,7.81,clear sky
San,ML,13.3034,-4.8956,88.09,37,76,7.11,broken clouds
Nishihara,JP,26.1842,127.7558,72.68,83,75,32.21,broken clouds
Magadan,RU,59.5667,150.8,22.53,71,85,12.06,overcast clouds
Blagoyevo,RU,63.3667,47.9167,44.11,87,100,9.66,overcast clouds
Nizwa,OM,22.9333,57.5333,76.35,26,100,0.25,overcast clouds
Khandyga,RU,62.6667,135.6,2.05,99,64,1.05,broken clouds
Kodiak,US,57.79,-152.4072,45.91,85,26,5.23,scattered clouds
Manacapuru,BR,-3.2997,-60.6206,85.15,63,100,1.79,heavy intensity rain
Jackson,US,42.4165,-122.8345,72.91,45,13,3.42,few clouds
Mishkino,RU,55.3389,63.9175,40.62,84,86,7.54,overcast clouds
Marawi,PH,7.9986,124.2928,69.66,95,100,2.06,light rain
San Cristobal,VE,7.7669,-72.225,78.98,57,100,1.88,overcast clouds
Coihaique,CL,-45.5752,-72.0662,75.81,31,0,3.44,clear sky
Ponta Delgada,PT,37.7333,-25.6667,56.12,76,75,23.02,light intensity shower rain
Mapiri,BO,-15.25,-68.1667,75.43,82,99,1.57,overcast clouds
Toora-Khem,RU,52.4675,96.11,33.51,60,100,3.4,overcast clouds
Makakilo City,US,21.3469,-158.0858,82.44,64,5,8.52,clear sky
Rawah,IQ,34.4816,41.9093,80.01,20,6,9.73,clear sky
Burgeo,CA,47.6167,-57.6152,55.08,92,47,12.44,scattered clouds
Amsterdam,NL,52.374,4.8897,60.85,94,20,6.91,few clouds
Baruun-Urt,MN,46.6806,113.2792,24.73,31,4,5.44,clear sky
Santa Fe,AR,-31.6333,-60.7,73.0,46,93,1.99,light rain
Lagoa,PT,39.05,-27.9833,61.74,60,100,29.62,light rain
Egyek,HU,47.6333,20.9,58.73,58,81,2.33,light rain
Constitucion,CL,-35.3333,-72.4167,57.27,75,57,7.34,broken clouds
Pedernales,DO,18.0384,-71.744,83.5,69,11,5.32,light rain
Puyallup,US,47.1854,-122.2929,70.34,66,100,0.0,overcast clouds
Vestmannaeyjar,IS,63.4427,-20.2734,42.04,71,95,4.36,overcast clouds
Alexandria,EG,31.2156,29.9553,72.14,63,81,12.3,broken clouds
Sombrio,BR,-29.1139,-49.6167,68.67,77,39,5.91,scattered clouds
Lakes Entrance,AU,-37.8811,147.981,46.17,87,17,2.3,few clouds
Skjervoy,NO,70.0311,20.9714,41.0,73,100,27.6,light rain
Hofn,IS,64.2539,-15.2082,39.22,87,100,3.44,light intensity drizzle
Numan,NG,9.4667,12.0333,86.25,50,24,2.48,few clouds
Pare,ID,-7.7679,112.198,74.26,89,100,7.09,overcast clouds
Banjar,ID,-8.19,114.9675,77.43,91,100,5.21,overcast clouds
Isla Vista,US,34.4133,-119.861,86.31,55,71,6.15,broken clouds
Hangu,CN,39.2489,117.7892,42.84,24,0,5.57,clear sky
Laje,BR,-10.1833,-40.9667,87.91,22,4,10.92,clear sky
Teahupoo,PF,-17.8333,-149.2667,75.16,82,68,19.06,light rain
